"subject_id","species","sepal_length","sepal_width","petal_length","petal_width"
"iris_131","virginica",7.4,2.8,6.1,1.9
"iris_132","virginica",7.9,3.8,6.4,2
"iris_133","virginica",6.4,2.8,5.6,2.2
"iris_134","virginica",6.3,2.8,5.1,1.5
"iris_135","virginica",6.1,2.6,5.6,1.4
"iris_136","virginica",7.7,3,6.1,2.3
"iris_137","virginica",6.3,3.4,5.6,2.4
"iris_138","virginica",6.4,3.1,5.5,1.8
"iris_139","virginica",6,3,4.8,1.8
"iris_140","virginica",6.9,3.1,5.4,2.1
"iris_141","virginica",6.7,3.1,5.6,2.4
"iris_142","virginica",6.9,3.1,5.1,2.3
"iris_143","virginica",5.8,2.7,5.1,1.9
"iris_144","virginica",6.8,3.2,5.9,2.3
"iris_145","virginica",6.7,3.3,5.7,2.5
"iris_146","virginica",6.7,3,5.2,2.3
"iris_147","virginica",6.3,2.5,5,1.9
"iris_148","virginica",6.5,3,5.2,2
"iris_149","virginica",6.2,3.4,5.4,2.3
"iris_150","virginica",5.9,3,5.1,1.8
